metric,value,category
Employee and contractor TRIR,0.18 by the end of 2025,Social
Employee and contractor TRIR,0.15 by the end of 2030,Social
Health and well-being programs,Established in each major area of operation by the end of 2025,Social
Training hours per employee,Increase by 50% by the end of 2027,Social
ISO 26000 social responsibility guidance,Implement by the end of 2023,Social
Human rights protection practices,Assess across 100% of agricultural supply chain for Tier 1 priority crops by the end of 2024,Social
Supplier audits (high-risk),100% meeting high-risk criteria for human rights by the end of 2027,Social
Human rights protection,Validate across Ingredion's operations and supply chain by the end of 2030,Social
Industry inclusion benchmark,Reach on global employee survey by the end of 2025,Social
Global gender parity,Achieve at the manager level and above by the end of 2030,Social
BIPOC at the manager level and above in the United States,Achieve 38% by the end of 2030,Social
Plastics circular economy projects,Complete three projects per country where we have manufacturing operations by the end of 2025,Environmental
Scopes 1 and 2 GHG emissions reduction,Achieve a 28% reduction in absolute by the end of 2030,Environmental
Scope 3 GHG emissions reduction,Achieve a 15% reduction in absolute by the end of 2030,Environmental
Water use intensity reduction,Reduce our water use intensity by 30% in all extremely high-stress geographies where we manufacture products by the end of 2030,Environmental
Waste to landfill avoidance,Achieve 100% by the end of 2030,Environmental
COD/BOD reduction from wastewater discharges,Reduce by 10% by the end of 2030,Environmental
Endangered species identification,Engage with an NGO partner to identify any endangered species impacted by agricultural operations by the end of 2022,Environmental
Agricultural biodiversity risks,Assess agricultural biodiversity risks for priority crops and sourcing regions by the end of 2023,Environmental
Endangered species net positive impact,Identify local partners and engage in projects to have a net positive impact by the end of 2025,Environmental
Biodiversity conservation programs,Implement in all crop sourcing areas located in biodiversity hotspots by the end of 2025,Environmental
Deforestation/sustainable forest resource use,"Achieve zero deforestation, or 100% sustainable use of forest-based resources, by the end of 2030",Environmental
Global waxy corn supply sustainably sourced,100% of global waxy corn supply sustainably sourced by the end of 2022,Environmental
Tier 1 priority crops sustainably sourced,100% by the end of 2025,Environmental
Water conservation projects with growers,Implement in 100% of extremely high water stressed sourcing geographies by the end of 2025,Environmental
Agricultural supply without pesticides of concern,Confirm that 100% is not using pesticides of concern by the end of 2025,Environmental
Integrated pest management,Educate growers and/or implement in at least 70% of our agricultural supply chain by the end of 2027,Environmental
Tier 1 and 2 priority crops sustainably sourced,100% of our Tier 1 and 2 priority crops sustainably sourced by the end of 2030,Environmental
Plant-based or alternative protein initiatives,Implement five product or supply chain initiatives in support of by the end of 2025,Social
Food waste reduction,Catalyze food waste awareness and reduction by implementing at least five projects with customers and/or suppliers by the end of 2025,Social
Agricultural efficiency initiatives,Implement in support of smallholder farmers in 100% of applicable geographies by the end of 2027,Social
Enact programs in 100% of the communities where we produce products to help eradicate childhood hunger by the end of 2025,100%,Social
Enact programs to support education and/or educational gender equality in 100% of our operational areas with low graduation rates by the end of 2025,100%,Social
Enact programs in support of local water conservation in 100% of extremely high water stress communities where we produce products by the end of 2027,100%,Environmental
Enact initiatives to support women entrepreneurs in 100% of the communities in which we operate that have a high gender equality imbalance,100%,Social
Total Recordable Incidence Rate (TRIR) 2022 Employee,0.33,Social
Total Recordable Incidence Rate (TRIR) 2022 Contractor,0.28,Social
Total Recordable Incidence Rate (TRIR) 2021 Employee,0.31,Social
Total Recordable Incidence Rate (TRIR) 2021 Contractor,0.19,Social
Total Recordable Incidence Rate (TRIR) 2020 Employee,0.28,Social
Total Recordable Incidence Rate (TRIR) 2020 Contractor,0.22,Social
Total Recordable Incidence Rate (TRIR) 2019 Employee,0.27,Social
Total Recordable Incidence Rate (TRIR) 2019 Contractor,0.26,Social
Total Recordable Incidence Rate (TRIR) 2018 Employee,0.26,Social
Total Recordable Incidence Rate (TRIR) 2018 Contractor,0.23,Social
Total Recordable Incidence Rate (TRIR) 2017 Employee,0.28,Social
Total Recordable Incidence Rate (TRIR) 2017 Contractor,0.13,Social
Reduction in Total Recordable Cases (TRCs) at Indianapolis plant vs 2021,>50%,Social
Reduction in thermal events globally vs 2021,>30%,Social
Locations with zero injuries,68%,Social
Locations are lost time case free,80%,Social
Product withdrawals,0,Social
Quality and food safety observations,24k+,Governance
Actions to drive continual improvement,9k+,Governance
TRANSPARENCY ACROSS OUR GLOBAL SUPPLY CHAIN,100%,Social
Global Strategic Tollers are Registered in Sedex,96%,Social
Estimated Progress Against ISO 26000,92%,Social
On Human Rights Campaign Foundation's Corporate Equality Index,95%,Social
Improve Representation of Women in Management,36.5%,Social
Improve Representation of People of Color in Management within the United States,28%,Social
Reduction in Negative Climate Change Impacts from Fermented Sugarcane Reb M Production Compared to Sugar,82%,Environmental
Water and Energy Consumption,Less,Environmental
Wastewater Generation,None,Environmental
"Carbon Emissions (Scopes 1, 2, and Biogenic)",-12%,Environmental
Carbon Emissions (Scope 3),-7%,Environmental
Renewable Energy,4%,Environmental
Water Use Intensity,2%,Environmental
Waste to Landfill Avoidance,83%,Environmental
Wastewater COD Intensity,+7%,Environmental
Scope 1 Emissions,"2,198,222",Environmental
Scope 2 Emissions,"823,062",Environmental
Biogenic Emissions,"47,958",Environmental
Scope 3 Emissions,"11,743,381",Environmental
Water Use: Global,"53,831,892",Environmental
Solid Waste,"262,425",Environmental
