metric,value,category
Employee and contractor TRIR,0.18,Social
Employee and contractor TRIR,0.15,Social
Average hours of training per employee,50%,Social
Agricultural supply chain assessed for human rights protection practices,100%,Social
Suppliers meeting high-risk criteria audited for human rights,100%,Social
Reduction in absolute Scopes 1 and 2 GHG emissions,28%,Environmental
Reduction in absolute Scope 3 GHG emissions,15%,Environmental
Water use intensity reduction in extremely high-stress geographies,30%,Environmental
Waste avoidance to landfill,100%,Environmental
COD or BOD reduction from wastewater discharges,10%,Environmental
Global waxy corn supply sustainably sourced,100%,Environmental
Tier 1 priority crops sustainably sourced,100%,Environmental
Water conservation projects with growers in extremely high water stressed sourcing geographies,100%,Environmental
Agricultural supply not using pesticides of concern,100%,Environmental
Agricultural supply chain with integrated pest management,70%,Environmental
Tier 1 and 2 priority crops sustainably sourced,100%,Environmental
Programs to eradicate childhood hunger,100% of communities where products are produced,Social
Programs to support education and/or educational gender equality,100% of operational areas with low graduation rates,Social
Programs to support local water conservation,100% of extremely high water stress communities,Environmental
Initiatives to support women entrepreneurs,100% of communities with a high gender equality imbalance,Social
Global Child Forum Score (2023),6.9/10,Social
Global Child Forum Score (2022),6.8/10,Social
Global Child Forum Industry Average,5.4,Social
ISO 26000 Alignment (2023),100%,Governance
ISO 26000 Alignment (2022),92%,Governance
Women Representation of Global Employees at All Levels,25.1%,Social
Women Representation of Global Employees (Manager and Above),37.1%,Social
Women Representation of Global Employees (Director and Above),32.3%,Social
Women Representation of Global Employees (Executive and Above),20.8%,Social
Age Groups of Global Employees (Under 30 years old),15.8%,Social
Age Groups of Global Employees (30-50 years old),60.5%,Social
Age Groups of Global Employees (Over 50 years old),23.7%,Social
Racial and Ethnic Breakdown of US Employees (Manager and above),29.6%,Social
Total BIPOC of US Employees (Manager and above),29.6%,Social
Asian of US Employees (Manager and above),11%,Social
Black of US Employees (Manager and above),5.5%,Social
Hispanic/LatinX of US Employees (Manager and above),11.5%,Social
Other of US Employees (Manager and above),1.6%,Social
Independent Board of Directors Representation (Women),40%,Governance
Independent Board of Directors Representation (Ethnic/Racial),20%,Governance
Independent Board of Directors Representation (Over 50 years old),100%,Governance
Global Inclusion Week participants,275,Social
Supplier Diversity Spend - Women Owned,"$53,650,686",Social
Supplier Diversity Spend - Women Owned Percentage,84.47%,Social
Supplier Diversity Spend - Veteran,"$4,255,360",Social
Supplier Diversity Spend - Veteran Percentage,6.70%,Social
Supplier Diversity Spend - Hispanic American,"$3,713,411",Social
Supplier Diversity Spend - Hispanic American Percentage,5.85%,Social
Supplier Diversity Spend - Asian American,"$1,433,180",Social
Supplier Diversity Spend - Asian American Percentage,2.26%,Social
Supplier Diversity Spend - African American,"$297,783",Social
Supplier Diversity Spend - African American Percentage,0.47%,Social
Supplier Diversity Spend - Native American,"$158,464",Social
Supplier Diversity Spend - Native American Percentage,0.25%,Social
Supplier Diversity Spend - Disabled,"$3,783",Social
Supplier Diversity Spend - Disabled Percentage,0.01%,Social
Total Supplier Diversity Spend,"$63,512,667",Social
Percentage of global population who are BRG members,18.3%,Social
Alignment with UN SDGs for new product launches,90%,Environmental
"Carbon Emissions (Scopes 1, 2 and Biogenic)",-22%,Environmental
Carbon Emissions (Scope 3),-3%,Environmental
Renewable Energy,25%,Environmental
Water Use Intensity*,-2%,Environmental
Waste to Landfill Avoidance,88%,Environmental
Wastewater COD Intensity,1%,Environmental
Scope 1 Emissions,"1,897,186 metric tons",Environmental
Scope 2 Emissions,"673,973 metric tons",Environmental
Biogenic Emissions*,"26,507 metric tons",Environmental
Scope 3 Emissions,"10,201,373 metric tons",Environmental
Water Use: Global,"49,046,105 cubic meters",Environmental
Solid Waste,"277,346 metric tons",Environmental
Purchased electricity from renewable sources,25%,Environmental
reduction in the company's global carbon footprint,8%,Environmental
reduction CO2 by the Guadalajara plant,3400 MT,Environmental
Use of produced biogas,70%,Environmental
Renewable electricity as percentage of global purchased electricity,25%,Environmental
Reduction in water intensity (Mexico),2%,Environmental
Improvement in water intensity over prior year (Mexico),4%,Environmental
Reduction in water intensity (Pakistan),26%,Environmental
Total company waste diverted from landfill/incineration,88%,Environmental
Sustainable sourcing of Tier 1 crops,66%,Environmental
Acres of crops in regenerative programs,"74,000 acres",Environmental
Increase in COD intensity,1%,Environmental
