metric_name,value,unit,year,category,source
Carbon Footprint,,,,Environmental,ADM-2024-sustainability.pdf - page 2
Energy,,,,Environmental,ADM-2024-sustainability.pdf - page 2
Freshwater,,,,Environmental,ADM-2024-sustainability.pdf - page 2
Waste,,,,Environmental,ADM-2024-sustainability.pdf - page 2
Biodiversity,,,,Environmental,ADM-2024-sustainability.pdf - page 2
Health and Safety,,,,Social,ADM-2024-sustainability.pdf - page 2
Food Safety and Quality,,,,Social,ADM-2024-sustainability.pdf - page 2
Human Rights,,,,Social,ADM-2024-sustainability.pdf - page 2
Community Engagement,,,,Social,ADM-2024-sustainability.pdf - page 2
Compliance and Ethics,,,,Governance,ADM-2024-sustainability.pdf - page 2
Strategy and Oversight,,,,Governance,ADM-2024-sustainability.pdf - page 2
Deforestation-free supply chain target,end of 2025,,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Reduction in Tier 1 and 2 process safety incidents,31,%,2024,Social,ADM-2024-sustainability.pdf - page 3
Investment in projects and organizations,15.6,million USD,2024,Social,ADM-2024-sustainability.pdf - page 3
Regenerative agriculture program acreage,5,million acres,2024,Environmental,ADM-2024-sustainability.pdf - page 3
GHG emissions reduction by farmers,1,million metric tons of CO2e,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Carbon sequestered in soil,363000,metric tons,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Scope 1 + 2 GHG emissions reduction,14.5,%,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Energy intensity reduction,6.6,%,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Water withdrawal reduction,3.6,%,2024,Environmental,ADM-2024-sustainability.pdf - page 3
Reporting Frequency,1,year,2024,Governance,ADM-2024-sustainability.pdf - page 5
Employees,44000,employees,,Social,ADM-2024-sustainability.pdf - page 6
Warehouses and Terminals,150,warehouses and terminals,,Environmental,ADM-2024-sustainability.pdf - page 6
Innovation Centers,68,innovation centers,,Environmental,ADM-2024-sustainability.pdf - page 6
Barges,2600,barges,,Environmental,ADM-2024-sustainability.pdf - page 6
Rail cars,31950,rail cars,,Environmental,ADM-2024-sustainability.pdf - page 6
Trucks,610,trucks,,Environmental,ADM-2024-sustainability.pdf - page 6
Trailers,1740,trailers,,Environmental,ADM-2024-sustainability.pdf - page 6
Boats,171,boats,,Environmental,ADM-2024-sustainability.pdf - page 6
Ocean-going vessels,23,vessels,,Environmental,ADM-2024-sustainability.pdf - page 6
Corn processed,18.5,million metric tons,2024,Environmental,ADM-2024-sustainability.pdf - page 6
Oilseeds processed,35.7,million metric tons,2024,Environmental,ADM-2024-sustainability.pdf - page 6
Number of Countries with Operations,36,countries,,Environmental,ADM-2024-sustainability.pdf - page 7
Number of Locations in North America,71,locations,,Environmental,ADM-2024-sustainability.pdf - page 7
Number of Locations in South America,51,locations,,Environmental,ADM-2024-sustainability.pdf - page 7
Number of Locations in Europe,228,locations,,Environmental,ADM-2024-sustainability.pdf - page 7
Number of Locations in Africa,9,locations,,Environmental,ADM-2024-sustainability.pdf - page 7
Number of Locations in Asia/Pacific,36,locations,,Environmental,ADM-2024-sustainability.pdf - page 7
Energy efficiency,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Alternative fuel vehicles,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Reduced water withdrawal,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Landfill avoidance,,,,Environmental,ADM-2024-sustainability.pdf - page 8
U.S. EPA SmartWay Certification,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Regenerative agriculture,,,,Environmental,ADM-2024-sustainability.pdf - page 8
No-deforestation,,,,Environmental,ADM-2024-sustainability.pdf - page 8
No-conversion,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Protect biodiversity,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Carbon capture and storage,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Renewable natural gas,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Wind and solar projects,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Carbon footprint reduction,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Community engagement,,,,Social,ADM-2024-sustainability.pdf - page 8
Human Rights,,,,Social,ADM-2024-sustainability.pdf - page 8
Health and Safety,,,,Social,ADM-2024-sustainability.pdf - page 8
Supporting food access,,,,Social,ADM-2024-sustainability.pdf - page 8
Quality and food safety,,,,Social,ADM-2024-sustainability.pdf - page 8
ADM Cares,,,,Social,ADM-2024-sustainability.pdf - page 8
Sea Cargo Charter for Ocean Freight,,,,Social,ADM-2024-sustainability.pdf - page 8
Strategic partnerships,,,,Social,ADM-2024-sustainability.pdf - page 8
Integrated global transportation network,,,,Environmental,ADM-2024-sustainability.pdf - page 8
Sustainability at ADM,,,,Environmental,ADM-2024-sustainability.pdf - page 9
Protect Nature,,,,Environmental,ADM-2024-sustainability.pdf - page 9
Enrich Lives,,,,Social,ADM-2024-sustainability.pdf - page 9
Governance,,,,Governance,ADM-2024-sustainability.pdf - page 9
Data Tables and Indices,,,,Environmental,ADM-2024-sustainability.pdf - page 9
Key Topic Assessment and Stakeholder Engagement,,,,Social,ADM-2024-sustainability.pdf - page 9
Risk and Opportunity Management,,,,Governance,ADM-2024-sustainability.pdf - page 9
Commitments and Policies,,,,Governance,ADM-2024-sustainability.pdf - page 9
Scope 1 + 2 GHG Emissions,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Scope 3 GHG Emissions,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Water Management,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Deforestation,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Regenerative Conversion,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Land-Use,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Agriculture and Land-Use Change,,,2024,Environmental,ADM-2024-sustainability.pdf - page 10
Occupational Health & Safety,,,2024,Social,ADM-2024-sustainability.pdf - page 10
Human Rights,,,2024,Social,ADM-2024-sustainability.pdf - page 10
Labor Conditions,,,2024,Social,ADM-2024-sustainability.pdf - page 10
Corporate Governance,,,2024,Governance,ADM-2024-sustainability.pdf - page 10
Warming Scenario,1.5,°C,2023,Environmental,ADM-2024-sustainability.pdf - page 11
Warming Scenario,2,°C,2023,Environmental,ADM-2024-sustainability.pdf - page 11
Warming Scenario,2.6,°C,2023,Environmental,ADM-2024-sustainability.pdf - page 11
"Environmental, Health, & Safety (EHS) Policy",N/A,policy,N/A,Environmental,ADM-2024-sustainability.pdf - page 12
Human Rights Policy,N/A,policy,N/A,Social,ADM-2024-sustainability.pdf - page 12
Code of Conduct,N/A,policy,N/A,Social,ADM-2024-sustainability.pdf - page 12
"Policy to Protect Forests, Biodiversity, and Communities",N/A,policy,N/A,Environmental,ADM-2024-sustainability.pdf - page 12
Commitment to Anti-Corruption Compliance,N/A,policy,N/A,Governance,ADM-2024-sustainability.pdf - page 12
ADM Tax Policy,N/A,policy,N/A,Governance,ADM-2024-sustainability.pdf - page 12
ADM Supplier Expectations,N/A,policy,N/A,Social,ADM-2024-sustainability.pdf - page 12
Managing Supplier Non-Compliance Procedure,N/A,policy,N/A,Social,ADM-2024-sustainability.pdf - page 12
Statement on Genetically Modified Organisms,N/A,policy,N/A,Environmental,ADM-2024-sustainability.pdf - page 12
Statement on Animal Testing,N/A,policy,N/A,Environmental,ADM-2024-sustainability.pdf - page 12
Carbon Footprint,,,,Environmental,ADM-2024-sustainability.pdf - page 13
Energy,,,,Environmental,ADM-2024-sustainability.pdf - page 13
Freshwater,,,,Environmental,ADM-2024-sustainability.pdf - page 13
Waste,,,,Environmental,ADM-2024-sustainability.pdf - page 13
Biodiversity,,,,Environmental,ADM-2024-sustainability.pdf - page 13
Scope 1 + 2 GHG emissions,25,% absolute reduction,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Scope 3 GHG emissions,25,% absolute reduction,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Energy intensity,15,% reduction,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Renewable and low-carbon energy out of total energy use,25,% usage,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Water withdrawal,10,% absolute reduction,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Waste Diverted from landfill,90,% diverted,2035,Environmental,ADM-2024-sustainability.pdf - page 14
Scope 1 Emissions,12.3,MT,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 1 Emissions,12.6,MT,2023,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 1 Emissions,14.1,MT,2021,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 2 Emissions,2.15,MT,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 2 Emissions,2.15,MT,2023,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 3 Emissions,116.5,M,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 3 Emissions,114.1,M,2023,Environmental,ADM-2024-sustainability.pdf - page 15
Carbon Capture and Storage (CCS),-520,K,2021,Environmental,ADM-2024-sustainability.pdf - page 15
Carbon Capture and Storage (CCS),-544,K,2023,Environmental,ADM-2024-sustainability.pdf - page 15
Carbon Capture and Storage (CCS),-332,K,2024,Environmental,ADM-2024-sustainability.pdf - page 15
FLAG Emissions,20.7,M,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Non-FLAG Emissions,128.6,M,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Reduction over baseline,14.5,%,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Reduction over baseline,14.1,M,2024,Environmental,ADM-2024-sustainability.pdf - page 15
Scope 1 + 2 GHG emissions reduction,3000,metric tons of CO2e per year,2024,Environmental,ADM-2024-sustainability.pdf - page 16
Scope 1 + 2 GHG emissions reduction,800000,metric tons of CO2 per year,2026,Environmental,ADM-2024-sustainability.pdf - page 16
Scope 1 + 2 GHG emissions reduction,2700000,metric tons of CO2e,2029,Environmental,ADM-2024-sustainability.pdf - page 16
On-farm emissions reduction,1000000,metric tons of CO2e,2024,Environmental,ADM-2024-sustainability.pdf - page 16
Carbon sequestration,363000,metric tons of CO2,,Environmental,ADM-2024-sustainability.pdf - page 16
Low-Carbon Energy Usage,25,%,2035,Environmental,ADM-2024-sustainability.pdf - page 17
Identified Energy Reduction Opportunities,850000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Cost Savings from Energy Reduction Opportunities,11.3,M,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Energy Savings from Implemented Projects,114000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Cost Savings from Implemented Projects,2.7,M,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Energy Savings from Customer Projects,600000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Low-Carbon Energy Usage,9,%,2019,Environmental,ADM-2024-sustainability.pdf - page 17
Low-Carbon Energy Usage,6,%,2023,Environmental,ADM-2024-sustainability.pdf - page 17
Low-Carbon Energy Usage,7.7,%,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Energy Intensity,1.06,MWh/ton of product produced,2023,Environmental,ADM-2024-sustainability.pdf - page 17
Energy Intensity,1.02,MWh/ton of product produced,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Renewable Electricity Procurement,681000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Energy Reduction - Cedar Rapids,150000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
"Energy Reduction - Erith, UK",17000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
"Energy Reduction - Campo Grande, Brazil",3300,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
"Energy Reduction - Razgrad, Bulgaria",25000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 17
Water withdrawal reduction target,10,%,2035,Environmental,ADM-2024-sustainability.pdf - page 18
