metric,value,category
Global regenerative agriculture program acreage,5 million acres,Environmental
Farmers reduced GHG emissions,more than 1 million metric tons of CO₂e,Environmental
Carbon sequestered in the soil,"more than 363,000 metric tons of carbon",Environmental
Scope 1 + 2 GHG emissions reduction,14.5%,Environmental
Energy intensity reduction,6.6%,Environmental
Water withdrawal reduction,3.6%,Environmental
Deforestation-free supply chain target,end of 2025,Environmental
"Investment in social, economic and environmental projects",$15.6 million,Social
Tier 1 and 2 process safety incidents reduction,31%,Social
Corn Processed,18.5 million metric tons,Environmental
Oilseeds Processed,35.7 million metric tons,Environmental
Community engagement,Mentioned,Social
ADM Cares,Mentioned,Social
Human Rights,Mentioned,Social
Regenerative agriculture,Mentioned,Environmental
No-deforestation,Mentioned,Environmental
No-conversion,Mentioned,Environmental
Protect biodiversity,Mentioned,Environmental
Quality and food safety,Mentioned,Social
Supporting food access,Mentioned,Social
Strategic partnerships,Mentioned,Governance
Integrated global transportation network,Mentioned,Environmental
Alternative fuel vehicles,Mentioned,Environmental
Sea Cargo Charter for Ocean Freight,Mentioned,Environmental
U.S. EPA SmartWay Certification,Mentioned,Environmental
Energy efficiency,Mentioned,Environmental
Reduced water withdrawal,Mentioned,Environmental
Landfill avoidance,Mentioned,Environmental
Health and Safety,Social,Social
Renewable energy procurement,Mentioned,Environmental
Carbon capture and storage,Mentioned,Environmental
Renewable natural gas,Mentioned,Environmental
Wind and solar projects,Mentioned,Environmental
Carbon footprint reduction,Mentioned,Environmental
Scope 1 + 2 GHG emissions reduction,14.5%,Environmental
Scope 1 + 2 GHG emissions reduction target,25%,Environmental
Scope 3 GHG emissions reduction,2.1%,Environmental
Scope 3 GHG emissions reduction target,25%,Environmental
Energy intensity reduction,6.6%,Environmental
Energy intensity reduction target,15%,Environmental
Renewable and low-carbon energy use,7.5%,Environmental
Renewable and low-carbon energy use target,25%,Environmental
Water withdrawal reduction,3.6%,Environmental
Water withdrawal reduction target,10%,Environmental
Diverted from landfill,88.4%,Environmental
Diverted from landfill target,90%,Environmental
Total 2024 Emissions,128.6M MT,Carbon Footprint
Reduction over baseline,14.5%,Carbon Footprint
Reduction over baseline,2.1%,Carbon Footprint
GHG Emissions Absolute reduction in Scope 1 + 2 GHG emissions over 2019 baseline by 2035,25%,Carbon Footprint
Low-Carbon Energy (% of total energy usage),7.5%,Energy
Increase low-carbon energy use to of total energy usage by 2035,25%,Energy
Reduction over baseline,0.2%,Energy
Energy Intensity (MWh/ton of product produced),0.99,Energy
Reduction over baseline,6.6%,Energy
Water absolute reduction in water withdrawal over 2019 baseline by 2035,10%,Freshwater
Water Withdrawal (million cubic meters),111.3,Freshwater
Reduction over baseline,3.6%,Freshwater
Waste diverted from landfill,90%,Waste
Increase over baseline,7.2%,Waste
Acres engaged in regenerative agriculture,"5,000,000",Environmental
Scope 3 GHG footprint reduction,"1,000,000 metric tons of CO2e",Environmental
CO2e sequestered,"363,000 metric tons",Environmental
Canola volume sourced from programs focusing on pesticide management,"3,810,000",Environmental
Corn volume sourced from programs focusing on pesticide management,"10,700,000",Environmental
Cotton volume sourced from programs focusing on pesticide management,"54,700",Environmental
Palm volume sourced from programs focusing on pesticide management,"236,000",Environmental
Peanuts volume sourced from programs focusing on pesticide management,"309,000",Environmental
Sorghum volume sourced from programs focusing on pesticide management,"34,900",Environmental
Soybeans volume sourced from programs focusing on pesticide management,"4,760,000",Environmental
Sunflower volume sourced from programs focusing on pesticide management,"37,000",Environmental
Wheat volume sourced from programs focusing on pesticide management,"1,560,000",Environmental
Other volume sourced from programs focusing on pesticide management,"52,900",Environmental
Sites with zero injuries,75%,Social
Sites with zero lost-workday injuries,89%,Social
TRIR,0.69,Social
LWIR,0.23,Social
Global Food Safety Initiative (GFSI) schemes,330,Social
Sites registered on Sedex,115,Social
Suppliers linked to on Sedex platform,900,Social
ADM entities evaluated through EcoVadis,30+,ESG
Colleague volunteered hours,8500,Social
ADM Institute for the Prevention of Postharvest Loss Funding,$10 million,Social
World's Most Ethical Companies™,"Recognized as one of the World's Most Ethical Companies™ by Ethisphere, and one of only 10 honorees in the Food, Beverage, & Agriculture category",Governance
Years received Ethisphere recognition,6,Governance
Annual required training completion,99%,Governance
Facilitator-led training sessions,216,Governance
Colleagues in facilitator-led training sessions,8000,Governance
Countries in facilitator-led training sessions,16,Governance
Compliance audits of third parties,15,Governance
Ongoing compliance monitoring and training of third-party service providers acting on our behalf,10,Governance
Virtual compliance training sessions,12,Governance
Virtual compliance training sessions,400,Governance
"Number of reports of employee relations; environmental, health, and safety (EHS); diversity; equal opportunity; respect in the workplace; and misuse or misappropriation of assets or information","1,632",ESG
ADM Cares Spending,$15.6 million,Social
Scope 1 GHG Emissions,"12,300,000",Environmental
