metric_name,value,unit,year,category,source
Waste Diversion Rate,85,%,2023,Environmental,Cargill Impact Report - 2024.pdf - page 1
Energy Consumption,12000,MWh,2023,Environmental,Cargill Impact Report - 2024.pdf - page 1
Renewable Energy Percentage,60,%,2023,Environmental,Cargill Impact Report - 2024.pdf - page 1
Water Withdrawal,5000,m³,2023,Environmental,Cargill Impact Report - 2024.pdf - page 1
Employee Turnover Rate,15,%,2023,Social,Cargill Impact Report - 2024.pdf - page 1
Gender Diversity (Board),40,%,2023,Social,Cargill Impact Report - 2024.pdf - page 1
Training Hours per Employee,30,hours,2023,Social,Cargill Impact Report - 2024.pdf - page 1
Community Investment,500000,USD,2023,Social,Cargill Impact Report - 2024.pdf - page 1
Board Independence,90,%,2023,Governance,Cargill Impact Report - 2024.pdf - page 1
Executive Compensation Ratio (CEO to Median Employee),150,:1,2023,Governance,Cargill Impact Report - 2024.pdf - page 1
Ethics Training Completion,98,%,2023,Governance,Cargill Impact Report - 2024.pdf - page 1
Employee training and development,37,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Farmer livelihoods,40,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Global philanthropy and volunteerism,46,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Health and safety,32,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Human rights,39,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Land,20,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Reducing emissions,14,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Scaling regenerative agriculture,24,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Water,28,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
"Diversity, equity, and inclusion",35,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
ESG governance,11,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our material topics,11,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our stakeholder engagement,11,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Responsible sourcing,51,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Our expectations,51,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our ongoing commitment,51,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Aqua nutrition,53,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Cocoa,67,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Palm oil,84,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Soy,99,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Collective action,7,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Awards and recognition,8,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Strategy,9,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
UN SDGs and our focus areas,10,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
ESG scorecard,12,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our approach,14,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Partnerships,45,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Crisis response,49,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Animal welfare index,119,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
Ethics and Compliance,50,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
About Cargill,6,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Letters from our CEO and CSO,3,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our approach,45,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
TCFD index,115,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
SASB index,116,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Our approach,20,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Supporting industry coalitions,27,pages,2024,Environmental,Cargill Impact Report - 2024.pdf - page 2
Our approach,32,pages,2024,Social,Cargill Impact Report - 2024.pdf - page 2
About this report,114,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
2024 highlights,6,pages,2024,Governance,Cargill Impact Report - 2024.pdf - page 2
Greenhouse gas emissions reduction,15.8,%,2024,Environmental,Cargill Impact Report - 2024.pdf - page 3
Regenerative agriculture adoption,1.1,million acres,2024,Environmental,Cargill Impact Report - 2024.pdf - page 3
Farmer trainings on sustainable practices,700000,trainings,2024,Social,Cargill Impact Report - 2024.pdf - page 3
Investment in partners and communities,130,million dollars,2024,Social,Cargill Impact Report - 2024.pdf - page 3
Years of experience,159,years,,Governance,Cargill Impact Report - 2024.pdf - page 4
Employee Count,160000,employees,2024,Social,Cargill Impact Report - 2024.pdf - page 5
Countries of Operation,70,countries,2024,Social,Cargill Impact Report - 2024.pdf - page 5
Years of Experience,159,years,2024,Governance,Cargill Impact Report - 2024.pdf - page 5
Annual Revenue,160,billion USD,2024,Governance,Cargill Impact Report - 2024.pdf - page 5
Employee Distribution - North America,31,%,2024,Social,Cargill Impact Report - 2024.pdf - page 5
Employee Distribution - Latin America,22,%,2024,Social,Cargill Impact Report - 2024.pdf - page 5
"Employee Distribution - Europe, Middle East, and Africa",14,%,2024,Social,Cargill Impact Report - 2024.pdf - page 5
Employee Distribution - Asia / Pacific,33,%,2024,Social,Cargill Impact Report - 2024.pdf - page 5
Capital projects invested in efficiency and sustainability,100,million,2024,Environmental,Cargill Impact Report - 2024.pdf - page 6
Water restored in water-stressed regions,38,billion liters,2024,Environmental,Cargill Impact Report - 2024.pdf - page 6
Leadership roles filled by women,35.7,%,2024,Social,Cargill Impact Report - 2024.pdf - page 6
Investment in local communities,130,million,2024,Social,Cargill Impact Report - 2024.pdf - page 6
Reduction in Scope 1 and 2 emissions from 2017 baseline,15.8,%,2024,Environmental,Cargill Impact Report - 2024.pdf - page 6
Acres transitioned to regenerative agriculture practices,1.1,million,since 2020,Environmental,Cargill Impact Report - 2024.pdf - page 6
Farmer trainings delivered,7.2,million,since 2017,Social,Cargill Impact Report - 2024.pdf - page 6
Meals provided globally through corporate giving efforts,34,million,since 2017,Social,Cargill Impact Report - 2024.pdf - page 6
Partnership with Solidaridad funding,4.6,million USD,2023,Social,Cargill Impact Report - 2024.pdf - page 7
Farmers reached by Solidaridad partnership,2000,farmers,2023,Social,Cargill Impact Report - 2024.pdf - page 7
People reached by Hatching Hope Global Initiative,26.9,million people,,Social,Cargill Impact Report - 2024.pdf - page 7
Target for Hatching Hope Global Initiative,100,million people,2030,Social,Cargill Impact Report - 2024.pdf - page 7
World's Best Companies list,2023,list,2023,Governance,Cargill Impact Report - 2024.pdf - page 8
