metric,value,category
Decrease greenhouse gas emissions from our operations,15.8% from our 2017 baseline,Environmental
Acres transitioned to regenerative agriculture practices across North America,1.1 million since 2020,Environmental
"Deforestation and land conversion elimination in supply chains for key crops in Brazil, Argentina, and Uruguay",by 2025,Environmental
Farmer trainings delivered,"700,000 focused on sustainable agricultural practices and increasing market access",Social
Invested in efficiency and sustainability capital projects,$100 million,Environmental
Liters of water restored in water-stressed regions,38 billion,Environmental
Leadership roles filled by women,35.7%,Social
Invested in local communities around the world,$130 million,Social
Farmer trainings delivered since 2017,7.2 million,Social
Meals provided globally through corporate giving efforts,34 million,Social
Scope 1 and 2 (operations): Reduce absolute operational greenhouse gas (GHG) emissions by 10% by 2025,15.8%,Environmental
CO₂e reduction from 2017 baseline,"670,000 metric tons",Environmental
"Scope 3 (supply chain): Reduce global GHG emissions from our global supply chain by 30% by 2030, measured per ton of product","670,000 metric tons CO₂e reduced through supply chain sustainability programs",Environmental
Eliminate deforestation across our agricultural supply chain by 2030,"Detailed dashboards of progress against land use metrics are in the cocoa, palm, and soy Supply Chain sections; these are the priority supply chains that comprise our global land use commitment.",Environmental
Implement water stewardship practices at all 68 priority facilities by 2025,85%,Environmental
Supply Chain and Communities: Enable a water positive impact in all priority regions by 2030,14.8%,Environmental
Farmer trainings delivered since 2017,7.2 million,Social
People reached since 2018,26.9 million,Social
Achieve gender parity in leadership by 2030 globally,35.7%,Social
Invest in programs and projects that advance social and environmental impact priorities and support local communities,$130 million,Social
Invested in efficiency and sustainability capital projects within our operations,$100 million,Environmental
Increase in contracted renewable energy capacity since early 2023,42%,Environmental
Reduction in Scope 1 and 2 emissions compared to 2017 baseline,15.8%,Environmental
GHG emissions reduction,15.8%,Environmental
Renewable electricity mix emission reductions,"908,000 metric tons CO₂ equivalent",Environmental
GHG emissions reduction due to renewable electricity portfolio,"442,000 metric tons CO₂e",Environmental
Contracted renewable electricity capacity,716 megawatts,Environmental
GHG reduction potential of palm oil facility project,"105,000 metric tons CO₂e",Environmental
Acres transitioned to regenerative agriculture practices,1.1 million,Environmental
