metric_name,value,unit,year,category,source
Carbon emissions reduction,22,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 2
Sustainably sourced Tier 1 priority crops,85,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 2
Progress,,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 3
Materiality Matrix,,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 3
People and Product Safety,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 3
Human Rights,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 3
Inclusion and Belonging,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 3
Innovation,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 3
Environmental Impact,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 3
Biodiversity Protection,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 3
Sustainable and Regenerative Agriculture,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 3
Food Security,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 3
Community Impact,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 3
Employee and contractor TRIR,0.18,,2025,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Employee and contractor TRIR,0.15,,2030,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Average hours of training per employee,50,%,2027,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Representation of women at the manager level and above,Increase,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 5
Representation of historically underrepresented talent at the manager-and-above level,Increase,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 5
Industry inclusion benchmark on global employee engagement survey,Sustain,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 5
Mechanism for efficient product screening against assessment criteria,Develop and deploy,,2021,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
Circular economy projects within supply chain,3,projects,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
New products aligned with the UN SDGs,40,%,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
New products aligned with the UN SDGs,75,%,2027,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
Plastics circular economy projects,3,projects per country,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Scope 1 and 2 GHG emissions reduction,28,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Scope 3 GHG emissions reduction,15,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Water use intensity reduction,30,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Waste to landfill avoidance,100,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
COD or BOD reduction,10,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Biodiversity impact assessment,1,assessment,2022,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Agricultural biodiversity risk assessment,1,assessment,2023,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Net positive impact projects on endangered species,1,project,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Biodiversity conservation programs implementation,1,program,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
