metric_name,value,unit,year,category,source
Absolute reduction in carbon emissions,22,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 2
Tier 1 priority crops sustainably sourced,85,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 2
Employee and contractor TRIR,0.18,rate,2025.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Significant food safety-related incidents reaching consumers,0,incidents,2025.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Increase in average hours of training per employee,50,%,2027.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Employee and contractor TRIR,0.15,rate,2030.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Agricultural supply chain assessed for human rights protection practices (Tier 1 priority crops),100,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
High-risk suppliers audited for human rights,100,%,2027.0,Social,Ingredion 2024 Sustainability Report.pdf - page 4
Circular economy projects in supply chain,3,projects,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
New products aligned with UN SDGs,40,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
New products aligned with UN SDGs,75,%,2027.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 5
Number of plastics circular economy projects per country,3,projects,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Reduction in absolute Scopes 1 and 2 GHG emissions,28,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Reduction in absolute Scope 3 GHG emissions,15,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Reduction in water use intensity,30,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Avoidance of waste to landfill,100,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Reduction in COD or BOD from wastewater discharge,10,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Completion of NGO engagement for endangered species impact identification,100,%,2022.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Completion of agricultural biodiversity risk assessment,100,%,2023.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Completion of identifying local partners and engaging in projects for net positive endangered species impact,100,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Completion of implementing biodiversity conservation programs in crop sourcing areas,100,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Deforestation,0,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Sustainable use of forest-based resources,100,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Global waxy corn supply sustainably sourced,100,%,2022.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Tier 1 priority crops sustainably sourced,100,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Extremely high water-stressed sourcing geographies with water conservation projects,100,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Agricultural supply not using pesticides of concern,100,%,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Agricultural supply chain with integrated pest management or educated growers,70,%,2027.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Tier 1 and 2 priority crops sustainably sourced,100,%,2030.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Product or supply chain initiatives in support of plant-based or alternative proteins,5,projects,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Projects to minimize food waste in supply chain,5,projects,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Applicable geographies in supply chain with agricultural efficiency initiatives for smallholder farmers,100,%,2027.0,Social,Ingredion 2024 Sustainability Report.pdf - page 7
Number of countries with measurable community impact,10,countries,2028.0,Social,Ingredion 2024 Sustainability Report.pdf - page 8
Average volunteer time per employee,2,hours per employee,2030.0,Social,Ingredion 2024 Sustainability Report.pdf - page 8
Employee Total Recordable Incidence Rate,0.31,Incidence Rate,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Total Recordable Incidence Rate,0.19,Incidence Rate,2023.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Total Recordable Incidence Rate,0.33,Incidence Rate,2022.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Total Recordable Incidence Rate,0.32,Incidence Rate,2021.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Total Recordable Incidence Rate,0.28,Incidence Rate,2020.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Total Recordable Incidence Rate,0.27,Incidence Rate,2019.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.12,Incidence Rate,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.18,Incidence Rate,2023.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.28,Incidence Rate,2022.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.18,Incidence Rate,2021.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.22,Incidence Rate,2020.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Total Recordable Incidence Rate,0.23,Incidence Rate,2019.0,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Percentage of facilities with zero injuries,73,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Percentage of facilities lost-time injury free,89,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Percentage of non-manufacturing sites injury free,100,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Years since last lost-time injury for manufacturing facilities,5,Years,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Years since last lost-time injury for manufacturing facilities,1,Year,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Gender Representation (All levels) - Male,73.8,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (All levels) - Female,25.6,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (All levels) - Other,0.6,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Professional and above) - Male,58.2,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Professional and above) - Female,41.3,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Professional and above) - Other,0.5,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Manager and above) - Male,60.3,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Manager and above) - Female,39.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Manager and above) - Other,0.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Director and above) - Male,67.7,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Director and above) - Female,31.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Director and above) - Other,0.9,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Executive and above) - Male,73.6,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Executive and above) - Female,25.3,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Gender Representation (Executive and above) - Other,1.1,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Independent Board of Directors - Women Representation,40,%,,Governance,Ingredion 2024 Sustainability Report.pdf - page 14
Independent Board of Directors - Racially/Ethically Diverse Representation,20,%,,Governance,Ingredion 2024 Sustainability Report.pdf - page 14
Independent Board of Directors - Over 50 years old Representation,100,%,,Governance,Ingredion 2024 Sustainability Report.pdf - page 14
Age Group Representation (All levels) - Under 30 years old,14.8,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Age Group Representation (All levels) - 30-50 years old,63.3,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Age Group Representation (All levels) - Over 50 years old,21.9,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Tenure Group Representation (All levels) - 0-2 years,18.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Tenure Group Representation (All levels) - 2+ to 5 years,12.8,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Tenure Group Representation (All levels) - 5+ to 10 years,20.5,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Tenure Group Representation (All levels) - 10+ years,41.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - Asian",6.0,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - Black",15.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - White",60.4,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - LatinX",3.3,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - Other",2.1,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
"Racial and Ethnic Representation in Manufacturing (U.S., All levels) - Undisclosed",19.7,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 14
Mentoring program participants,273,participants,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Global Inclusion Week participants identified as women,57,%,2023.0,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Global Inclusion Week U.S. participants identified as ethnically or racially diverse,40,%,2023.0,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Global Inclusion Week planning team members,200,employees,2023.0,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Mentoring program mentee satisfaction rating,9,out of 10,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 15
BRG membership,22.5,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Pay gap between male and female employees,0,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Pay gap across different racial/ethnic groups (United States),0,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Number of BRG members,392,members,2017.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,803,members,2019.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,253,members,2021.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,133,members,2022.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,1036,members,2017.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,260,members,2019.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,271,members,2021.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Number of BRG members,183,members,2022.0,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Total Supplier Diversity Spend,23.8,M USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - African American,2.3,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - African American,1163434,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Asian American,1272864,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Disabled,0.9,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Disabled,547464,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Disadvantaged,223343,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Women-Owned,51.8,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Women-Owned,12333697,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Hispanic American,14.3,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Hispanic American,3397518,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - LGBTQ,3.0,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - LGBTQ,703919,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Native American,3.8,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Native American,894637,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Veteran-Owned,13.8,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend - Veteran-Owned,3285681,USD,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Years of consumer research and insight (ATLAS platform),11,years,,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Consumer perception on texture's role in eating satisfaction,79,%,2024.0,Social,Ingredion 2024 Sustainability Report.pdf - page 22
"Carbon Emissions (Scopes 1, 2 and Biogenic)",-22,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Carbon Emissions (Scope 3),-7,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Renewable Purchased Electricity,32,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Water Use Intensity,0,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Waste to Landfill Avoidance,92,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Wastewater COD Intensity,1,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Scope 1 Emissions,1825070,metric tons,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Scope 2 Emissions,779840,metric tons,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Biogenic Emissions,30426,metric tons,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Scope 3 Emissions,16076377,metric tons,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Water Use: Global,51503000,cubic meters,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Solid Waste,276188,metric tons,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Renewable electricity purchased globally,32,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 27
Investment in environmentally sustainable projects,14,M USD,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 28
CO2 reduction from coal to natural gas conversion (Winston Salem),5000,MT CO2,2025.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 28
"CO2 reduction from natural gas boiler efficiency improvement (Argo, IL)",19000,MT CO2 per year,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 28
Electricity from renewable sources,32,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 29
On-site solar installations started operations,2,installations,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 29
Biogas utilization rate,70,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 30
Sustainably sourced Tier 1 crops,85,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 32
Crops in regenerative programs,74000,acres,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 32
Renewable electricity as percentage of global purchased electricity,32,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Water consumption increase in Mexico operation,2,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Plants achieving Zero Waste to Landfill,17,Plants,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 34
Total waste diverted from landfill or incineration without energy recovery,92,%,2024.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 34
Total waste diverted from landfill or incineration without energy recovery,90,%,2023.0,Environmental,Ingredion 2024 Sustainability Report.pdf - page 34
