metric,value,category
Employee and contractor TRIR,0.18,Social
Employee and contractor TRIR,0.15,Social
Absolute reduction in Scopes 1 and 2 GHG emissions,28%,Environmental
Reduction in absolute Scope 3 GHG emissions,15%,Environmental
Water use intensity reduction,30%,Environmental
Avoidance of waste to landfill,100%,Environmental
Reduction of COD or BOD from wastewater discharge,10%,Environmental
Achieve measurable community impact in at least 10 countries where we operate,Targeted by the end of 2028,Social
Average volunteer time per employee per year,Target of 2 hours,Social
Community impact projects,Double the number of community impact projects,Social
Employee Total Recordable Incidence Rate,0.31,Social
Employee Total Recordable Incidence Rate,0.19,Social
Employee Total Recordable Incidence Rate,0.33,Social
Employee Total Recordable Incidence Rate,0.32,Social
Employee Total Recordable Incidence Rate,0.28,Social
Employee Total Recordable Incidence Rate,0.27,Social
Contractor Total Recordable Incidence Rate,0.12,Social
Contractor Total Recordable Incidence Rate,0.18,Social
Contractor Total Recordable Incidence Rate,0.28,Social
Contractor Total Recordable Incidence Rate,0.18,Social
Contractor Total Recordable Incidence Rate,0.22,Social
Contractor Total Recordable Incidence Rate,0.23,Social
Facilities with ZERO injuries,73%,Social
Non-manufacturing sites that were injury free,100%,Social
Facilities that were lost-time injury free.,89%,Social
Product recalls,3,Quality
Product recalls reaching consumers,1,Quality
Suppliers from first phase were audited,>50%,Social
Represents of our non-agriculture supply base,0.5%,Social
SMETA 4 pillar audits completed,21,Social
Training completion rate on human rights and ETI Base Code,85%,Social
Ecovadis score,55,ESG
Global Child Forum score,7.5,Social
Percentage of Tier 1 priority crops assessed using SAI Platform FSA,85%,Environmental
Percentage of Tier 1 priority crop growers meeting SAI Platform FSA Bronze level or higher,85%,Environmental
Percentage of global participants in BRG mentoring program that were women,57%,Social
Percentage of US participants in BRG mentoring program identified as ethnically or racially diverse,40%,Social
Women on Board,40%,Social
Racially or Ethnically Diverse on Board,20%,Social
Equal Pay for Equal Work,"Committed to equal pay regardless of gender, race, ethnicity, or personal characteristics.",Social
Pay Equity Analysis,Conducted a pay equity analysis in 2024.,Social
Systemic Pay Issues,"Identified no systemic issues or negative pay gaps between male and female employees, or across different racial/ethnic groups in the US.",Social
BRG Membership,BRG membership encompasses 22.5% of global workforce.,Social
Supplier Diversity Spend (U.S.),$23.8M+,Social
Spend with Women-Owned Suppliers,"51.8% ($12,333,697)",Social
Spend with African American Suppliers,"5.3% ($1,272,864)",Social
Spend with Asian American Suppliers,"4.9% ($1,163,434)",Social
Spend with Veteran-Owned Suppliers,"13.8% ($3,285,681)",Social
Spend with Hispanic American Suppliers,"14.3% ($3,397,518)",Social
Spend with Native American Suppliers,"3.8% ($894,637)",Social
Spend with LGBTQ Suppliers,"3.0% ($703,919)",Social
Spend with Disadvantaged Suppliers,"2.3% ($547,464)",Social
Spend with Disabled Suppliers,"0.9% ($223,343)",Social
Sustainable Innovation - Reduce Water Footprint,Functional starch helps paper customers reduce product water footprint by increasing recycled content.,Environmental
Sustainable Innovation - Reduce Carbon Footprint,Functional starch helps paper customers reduce carbon footprint by increasing recycled content.,Environmental
Sustainable Innovation - Scope 3 Emissions,Focus on reducing scope 3 emissions by developing ingredients that enable customers to lower carbon footprint.,Environmental
Reduce starch consumption,Yes,Environmental
Reduce chemicals consumption,Yes,Environmental
Reduce liquid adhesive consumption,Yes,Environmental
"Carbon Emissions (Scopes 1, 2 and Biogenic)",-22%,Environmental
Carbon Emissions (Scope 3),-7%,Environmental
Renewable Purchased Electricity,32%,Environmental
Water Use Intensity,0%,Environmental
Waste to Landfill Avoidance,92%,Environmental
Wastewater COD Intensity,1%,Environmental
Scope 1 Emissions,"1,825,070 metric tons",Environmental
Scope 2 Emissions,"779,840 metric tons",Environmental
Biogenic Emissions,"30,426 metric tons",Environmental
Scope 3 Emissions,"16,076,377 metric tons",Environmental
Water Use: Global,"51,503,000 cubic meters",Environmental
Solid Waste,"276,188 metric tons",Environmental
Energy Efficiency Capex Investment,$14M,Environmental
Reduce CO2,"19,000 metric tons (MT) of CO2 per year",Environmental
Renewed commitment to PETA's 'Eat Without Experiments' Program,Signatory,Social
Renewable Electricity purchases,32%,Environmental
Biogas utilization,70%,Environmental
Sustainably sourced Tier 1 crops,85%,Environmental
Acres of crops in regenerative programs,74K acres,Environmental
Renewable electricity,32%,Environmental
