metric,value,category
Direct global electricity needs met with renewable electricity,89%,Environmental
Direct global electricity needs met with renewable electricity,"approximately 3,900 GWh",Environmental
Scope 1 and 2 greenhouse gas emissions reduction against 2022 baseline,18%,Environmental
Beverage portfolio containing fewer than 100 Calories from added sugars per 12 oz. serving,67%,Social
Convenient foods portfolio volume not exceeding 1.3 milligrams of sodium per Calorie,77%,Social
"Acres where regenerative, restorative or protective practices have been adopted",more than 3.5 million acres,Environmental
"Scope 1, 2 and 3 emission reduction targets",Aligned to a 1.5°C trajectory,Environmental
Net-zero emissions target year,2050,Environmental
"Acres driving regenerative, restorative or protective practices by 2030",10 million acres,Environmental
Number of employees globally,"~319,000",Social
Net revenue in 2024,Nearly $92B,Governance
Operational water-use efficiency,25% improvement in high water-risk areas (measured against a 2015 baseline),Environmental
Agricultural water-use efficiency,15% improvement (reaching 22% when compared to a 2015 baseline) in high water-risk watersheds,Environmental
Regenerative agriculture practices spread,7 million acres,Environmental
Access to safe water,>96 million people,Social
Renewable electricity,100% in U.S. direct operations,Environmental
Adoption of regenerative agriculture practices,10 million acres by 2030,Environmental
"Crops using regenerative, restorative or protective practices",>3.5 million acres,Environmental
Measurable improvements in livelihoods,>185k livelihoods since 2021,Social
"Adoption of regenerative agriculture, restorative, or protective practices",more than 3.5 million acres,Environmental
Net reduction in on-farm GHG emissions (including soil carbon sequestration),approximately 1.6 million metric tons,Environmental
Sustainably sourced key ingredients,approximately 66%,Environmental
Improvements in livelihoods (economic prosperity and farmer/farm worker security),"more than 185,000",Social
Regenerative agriculture goal,10 million acres,Environmental
Agricultural water-use efficiency in high water-risk watersheds,22% improvement,Environmental
Farmers supported in adopting regenerative farming techniques,"approximately 20,000",Social
Sustainably sourced,66%,Environmental
Ingredients within the Engaged Tier,1%,Environmental
Key Ingredients sustainably sourced by 2030,90%,Environmental
Key Ingredients within the Engaged Tier,10%,Environmental
Livelihoods improved since 2021,"185,000",Social
Farmers and community members reached through partnership with CARE,>3.6M,Social
Number of livelihoods to improve by 2030,"250,000",Social
Net-zero emissions target,2050 or sooner,Environmental
50% reduction in Scope 1 and 2 emissions,2030,Environmental
"30% reduction in Scope 3 Forest, Land and Agriculture (FLAG) emissions",2030,Environmental
42% reduction in Scope 3 Energy and Industry (E&I) emissions,2030,Environmental
Renewable electricity in North American foods fleet,~80%,Environmental
Countries using 100% renewable electricity,39,Environmental
"Scope 3 Forest, Land and Agriculture (FLAG) emissions reduction",7%,Environmental
Scope 1 and 2 emissions reduction,13%,Environmental
Scope 3 Energy and Industry emissions reduction,8%,Environmental
Renewable electricity in company-owned operations,89%,Environmental
Replenished water,~75%,Environmental
Replenished water,-24B liters,Environmental
Water-use efficiency ratio in beverages sites,1.7 liters/liter,Environmental
Water-use efficiency ratio in convenient foods sites,2.23 liters/kg,Environmental
Operational water-use efficiency in high water-risk (HWR) goal,Reach average water-use efficiency ratios of 1.4 liters/liter of production in beverages sites and 1.7 liters/ kilogram of production in convenient foods sites for 100% of HWR PepsiCo and franchise bottler manufacturing facilities by 2030,Environmental
2030 Local watershed replenishment goal,Replenish back into the watershed 100% of the water we use in high water-risk PepsiCo and franchise bottler manufacturing facilities by 2030,Environmental
2025 Water stewardship standard goal,Adopt the Alliance for Water Stewardship (AWS) Standard in high water-risk manufacturing facilities by 2025,Governance
2025 local watershed replenishment goal,Achieve 100% water replenishment at company-owned facilities designated in high water-risk areas by 2025,Environmental
Facilities that have fully adopted the AWS Standard,73,Governance
facilities in the process of adopting AWS,28,Governance
"Reusable, recyclable, or compostable (RRC) packaging by design (primary and secondary)",93%,Environmental
Virgin plastics reduction,5%,Environmental
Recycled plastic,15%,Environmental
2030 Virgin plastic reduction (tonnage) goal,2% Reduction,Environmental
2035 recycled content goal,40%,Environmental
