metric,value,category
"Adoption of regenerative agriculture, restorative, or protective practices",>3.5 million acres,Environmental
Sustainably sourced key ingredients,~66%,Environmental
Progress volumes on key ingredients that face systemic barriers (Engaged),~1%,Environmental
Improved Livelihoods,">185,000 people",Social
Reduction in Scope 1 and 2 emissions,18%,Environmental
Reduction in Scope 3 Energy & Industry (E&I) emissions,12%,Environmental
"Reduction in Scope 3 Forest, Land and Agriculture (FLAG) emissions",7%,Environmental
Renewable electricity in company-owned operations,89%,Environmental
Average water-use efficiency ratio in high water-risk beverages sites,1.7 liters/liter,Environmental
Average water-use efficiency ratio in high water-risk convenient foods sites,2.2 liters/kg,Environmental
Water replenishment at company-owned facilities designated in high water-risk areas,86%,Environmental
Water replenished back into the watershed in high water-risk PepsiCo and franchise bottler manufacturing facilities,75%,Environmental
Number of high water-risk facilities that have fully adopted the AWS Standard,73,Environmental
Number of high water-risk facilities that are in the process of adopting the AWS Standard,28,Environmental
Average % year-over-year reduction in absolute tonnage of virgin plastics,2% YOY,Environmental
% Recycled content in plastic packaging,≥40%,Environmental
"% Reusable, recyclable, or compostable (RRC) packaging by design",≥97%,Environmental
% of beverages portfolio volume with ≤100 Calories from added sugars per 12 oz. serving,≥67%,Nutrition
% of convenient foods portfolio volume that does not exceed 1.3 milligrams of sodium per Calorie,≥75%,Nutrition
% of convenient foods portfolio volume that does not exceed 1.1 grams of saturated fat per 100 Calories,≥75%,Nutrition
% of global convenient foods portfolio volume that meet or be below category sodium targets,≥75%,Nutrition
Deliver X billion portions of diverse ingredients annually,145 billion portions annually,Nutrition
Extend the principles of our Supplier Code of Conduct to all of our franchisees and joint ventures,By 2025,Social
People reached with safe water access,100 million,Social
Partner with communities to advance food security and make nutritious food accessible to,50 million,Social
Injury-free work environment,0.463,Social
Women and men continue to be paid,within 1% of each other,Social
